5.999999999999999778e-01 9.478855544185995541e+01 4.161556108199707671e-01 1.000000000000000000e+00
7.555555555555555358e-01 1.042751352528070896e+02 4.001668656632015320e-01 1.000000000000000000e+00
9.111111111111110938e-01 1.145769673331555367e+02 3.963665908703247198e-01 1.000000000000000000e+00
1.066666666666666430e+00 1.256226341777742164e+02 4.089914050052024796e-01 1.000000000000000000e+00
1.222222222222222321e+00 1.373507964908973520e+02 4.431725194939024060e-01 1.000000000000000000e+00
1.377777777777777768e+00 1.497094179442929658e+02 5.048158012333416877e-01 1.000000000000000000e+00
1.533333333333333215e+00 1.626545263205458980e+02 6.005050207331252832e-01 1.000000000000000000e+00
1.688888888888888662e+00 1.761489136268043580e+02 7.374255249789597455e-01 1.000000000000000000e+00
1.844444444444444553e+00 1.901609515132869888e+02 9.233043646296231755e-01 1.000000000000000000e+00
2.000000000000000000e+00 2.046635805397726244e+02 1.166363125590208050e+00 1.000000000000000000e+00
